row_number,module_name,fecha,anio,mes_num,mes_nombre,periodo,registro_valido,estado_fila_norm,row_alert_municipio_missing,row_alert_estado_incompleto,modalidad,tipo_actividad,participantes_totales,n_tecnicos,n_operarios,n_otro_personal,instituciones_participantes,observaciones,municipios,temas,temas_nucleo,has_core_theme
310,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
311,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
312,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
313,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
314,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
315,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
316,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
317,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
318,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
319,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
320,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
321,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
322,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
323,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
324,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
325,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
326,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
327,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
328,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
329,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
330,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
331,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
332,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
333,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
334,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
335,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
336,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
337,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
338,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
339,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
340,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
341,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
