programa,anio,mes_num,mes,zona_codigo,municipio_origen,material,cantidad,pagado_unit_gtq,precio_vendido_unit_gtq,gtq_total_pagados,ingreso_total_venta,ingreso_cooperativa
atitlan_recicla,2026,1,ENE,ZS,ZS - Santiago Atitlán,PET transparente,3.5,40.0,40.0,140.0,140.0,0.0
atitlan_recicla,2026,1,ENE,ZS,ZS - Santiago Atitlán,Papel mixto,0.8,25.0,25.0,20.0,20.0,0.0
atitlan_recicla,2026,1,ENE,ZS,ZS - Santiago Atitlán,Plástico duro (PP),0.37,35.0,35.0,12.95,12.95,0.0
atitlan_recicla,2026,1,ENE,ZS,ZS - Santiago Atitlán,Plástico soplado (PEAD),1.0,35.0,35.0,35.0,35.0,0.0
atitlan_recicla,2026,1,ENE,ZS,ZS - Santiago Atitlán,Quintal vidrio VER,20.0,10.0,10.0,200.0,200.0,0.0
atitlan_recicla,2026,1,ENE,ZS,ZS - Santiago Atitlán,Quintal vidrio mixto,95.0,22.0,22.0,2090.0,2090.0,0.0
atitlan_recicla,2026,1,ENE,ZS,ZS - Santiago Atitlán,Quintal vidrio sucio,25.0,8.0,8.0,200.0,200.0,0.0
atitlan_recicla,2026,1,ENE,ZS,ZS - Santiago Atitlán,cartoncillo,0.1,5.0,5.0,0.5,0.5,0.0
atitlan_recicla,2026,2,FEB,K,K - San Andrés Semetabaj,Cartón,9.53,10.0,10.0,95.3,95.3,0.0
atitlan_recicla,2026,2,FEB,K,K - San Andrés Semetabaj,PET transparente,0.52,40.0,40.0,20.8,20.8,0.0
atitlan_recicla,2026,2,FEB,K,K - San Andrés Semetabaj,Papel mixto,3.59,25.0,25.0,89.75,89.75,0.0
atitlan_recicla,2026,2,FEB,K,K - San Andrés Semetabaj,Plástico duro (PP),0.19,35.0,35.0,6.65,6.65,0.0
atitlan_recicla,2026,2,FEB,K,K - San Andrés Semetabaj,Plástico soplado (PEAD),0.55,35.0,35.0,19.25,19.25,0.0
atitlan_recicla,2026,2,FEB,K,K - San Andrés Semetabaj,Quintal vidrio VER,3.0,10.0,10.0,30.0,30.0,0.0
atitlan_recicla,2026,2,FEB,K,K - San Andrés Semetabaj,Quintal vidrio mixto,19.41,22.0,22.0,427.02,427.02,0.0
atitlan_recicla,2026,2,FEB,K,K - Santa Catarina Palopó,Cartón,1.62,10.0,10.0,16.200000000000003,16.200000000000003,0.0
atitlan_recicla,2026,2,FEB,K,K - Santa Catarina Palopó,PET celeste,0.25,20.0,20.0,5.0,5.0,0.0
atitlan_recicla,2026,2,FEB,K,K - Santa Catarina Palopó,PET transparente,0.6,40.0,40.0,24.0,24.0,0.0
atitlan_recicla,2026,2,FEB,K,K - Santa Catarina Palopó,PET verde,0.06,15.0,15.0,0.8999999999999999,0.8999999999999999,0.0
atitlan_recicla,2026,2,FEB,K,K - Santa Catarina Palopó,Plástico duro (PP),0.12,35.0,35.0,4.2,4.2,0.0
atitlan_recicla,2026,2,FEB,K,K - Santa Catarina Palopó,Plástico soplado (PEAD),0.42,35.0,35.0,14.7,14.7,0.0
atitlan_recicla,2026,2,FEB,K,K - Santa Catarina Palopó,Quintal vidrio VER,10.0,10.0,10.0,100.0,100.0,0.0
atitlan_recicla,2026,2,FEB,K,K - Santa Catarina Palopó,Quintal vidrio mixto,5.81,22.0,22.0,127.82,127.82,0.0
atitlan_recicla,2026,2,FEB,K,K - Santa Catarina Palopó,cartoncillo,0.4,5.0,5.0,2.0,2.0,0.0
atitlan_recicla,2026,2,FEB,K,K - Sololá,Aluminio latas,0.57,370.0,400.0,210.89999999999998,227.99999999999997,17.099999999999994
